sample_id,source,mode,channel,angle_deg,value
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,30,0.0004935922333970666
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,35,0.0005562378210015595
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,40,0.0006000914145261049
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,45,0.0006330208852887154
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,50,0.0006348168826662004
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,55,0.0006119431927800179
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,60,0.000552300363779068
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,65,0.0004947433480992913
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,70,0.000416175666032359
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,75,0.00034661719109863043
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,80,0.00025888567324727774
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,85,0.00019804819021373987
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,90,0.0001552485628053546
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,95,0.00011505369184305891
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,100,9.920909360516816e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,105,9.781390690477565e-05
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,110,0.00010864620708161965
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,115,0.00013414300337899476
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,120,0.00016092155419755727
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,125,0.00018721187370829284
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,130,0.0002106965403072536
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,135,0.00022189103765413165
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,140,0.00022297420946415514
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,145,0.00020901368407066911
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,150,0.00018722156528383493
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,155,0.00016417518781963736
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,160,0.00013988089631311595
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,G,165,0.00011622888268902898
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,0,0.00010046099487226456
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,5,0.00012168407556600869
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,10,0.00015993461420293897
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,15,0.00019883130153175443
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,20,0.00024727004347369075
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,25,0.0002983287558890879
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,30,0.0003550228720996529
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,35,0.0003969944373238832
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,40,0.00042563152965158224
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,45,0.0004472104483284056
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,50,0.00044853222789242864
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,55,0.0004326551570557058
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,60,0.00039247467066161335
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,65,0.0003530657268129289
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,70,0.00030064841848798096
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,75,0.00025491524138487875
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,80,0.00019629421876743436
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,85,0.0001556833303766325
R0S39_Pg2TTT_CB_15mgml_7e-2mms_45C_100um_5ul,sample_corr,XPL,B,90,0.00012746387801598758
